country,countryN
德国,Country1
美国,Country2
法国,Country3
印度尼西亚,Country4
西班牙,Country5
日本,Country6
澳大利亚,Country7
新加坡,Country8
泰国,Country9
英国,Country10
荷兰,Country11
比利时,Country12
越南,Country13
韩国,Country14
中国台湾,Country15
中国香港,Country16
加拿大,Country17
马来西亚,Country18
新西兰,Country19
意大利,Country20
瑞士,Country21
俄罗斯,Country22
柬埔寨,Country23
中国澳门,Country24
阿联酋,Country25
斐济,Country26
葡萄牙,Country27
奥地利,Country28
希腊,Country29
南非,Country30
匈牙利,Country31
菲律宾,Country32
捷克,Country33
挪威,Country34
丹麦,Country35
瑞典,Country36
芬兰,Country37
摩洛哥,Country38
缅甸,Country39
老挝,Country40
毛里求斯,Country41
爱尔兰,Country42
土耳其,Country43
墨西哥,Country44
埃及,Country45
波兰,Country46
中国,Country47
冰岛,Country48
尼泊尔,Country49
卡塔尔,Country50
巴西,Country51
